ID,date,period,LAT,LON,ALT,TEMPC,HUMIDITY,WINDCHILLF,WINDSPEEDKMH,RAININ,SOLARRADIATION
GARMON002,2019-06-20,Peak,50.846792,4.75586,47,12.2,80.58064516129032,55.18387096774193,0.12532258064516127,0.0,6.3466129032258065
GARMON002,2019-06-21,Peak,50.846792,4.75586,47,14.1,76.32217573221757,57.6050209205021,1.019121338912134,0.0,173.40426778242679
GARMON002,2019-06-21,Slow,50.846792,4.75586,47,20.9,52.583333333333336,69.16041666666665,2.0716666666666668,0.0,483.6218749999999
GARMON002,2019-06-22,Peak,50.846792,4.75586,47,14.8,77.0375,61.19874999999999,0.5620833333333335,0.0,198.0245416666666
GARMON002,2019-06-22,Slow,50.846792,4.75586,47,24.65,48.625,76.24374999999999,2.0949999999999998,0.0,740.981875
GARMON002,2019-06-23,Peak,50.846792,4.75586,47,21.200000000000003,75.6625,69.16916666666667,0.8640833333333335,0.0,175.61324999999994
GARMON002,2019-06-23,Slow,50.846792,4.75586,47,29.25,48.416666666666664,84.06874999999998,3.376250000000002,0.0,671.5612500000001
GARMON002,2019-06-24,Peak,50.846792,4.75586,47,22.299999999999997,76.44583333333334,74.23,1.1055,0.0,193.4226250000001
GARMON002,2019-06-24,Slow,50.846792,4.75586,47,31.0,47.958333333333336,87.77500000000002,2.7843750000000003,0.0,758.505
GARMON002,2019-06-25,Peak,50.846792,4.75586,47,24.5,72.32083333333334,77.86999999999995,1.3699583333333332,0.0,220.07487499999996
GARMON002,2019-06-25,Slow,50.846792,4.75586,47,34.25,46.4375,92.75,3.207291666666667,0.0,761.5639583333335
GARMON002,2019-06-26,Peak,50.846792,4.75586,47,19.9,79.63333333333334,69.91333333333333,1.7020833333333316,0.0023205404166666667,182.01699999999997
GARMON002,2019-06-26,Slow,50.846792,4.75586,47,26.0,68.875,78.71875000000001,3.8110416666666675,0.0,732.2200000000001
GARMON002,2019-06-27,Peak,50.846792,4.75586,47,18.200000000000003,70.59166666666667,67.0720833333333,1.21025,0.0,231.50250000000005
GARMON002,2019-06-27,Slow,50.846792,4.75586,47,26.15,44.770833333333336,79.03333333333335,2.567916666666667,0.0,796.84625
GARMON002,2019-06-28,Peak,50.846792,4.75586,47,16.3,72.25,64.85916666666665,0.882291666666667,0.0,234.89783333333338
GARMON002,2019-06-28,Slow,50.846792,4.75586,47,26.25,46.8125,78.51875,2.820625000000001,0.0,805.205625
GARMON002,2019-06-29,Peak,50.846792,4.75586,47,20.5,69.5375,71.35333333333331,0.8180833333333335,0.0,246.65595833333336
GARMON002,2019-06-29,Slow,50.846792,4.75586,47,32.349999999999994,35.229166666666664,89.96041666666667,2.9414583333333333,0.0,851.02875
GARMON002,2019-06-30,Peak,50.846792,4.75586,47,22.2,70.49372384937239,70.68200836820084,2.0705020920502095,0.0,172.23774058577405
GARMON002,2019-06-30,Slow,50.846792,4.75586,47,27.2,54.895833333333336,80.97916666666664,2.9581249999999994,0.0,580.2983333333336
GARMON002,2019-07-01,Peak,50.846792,4.75586,47,17.75,69.60416666666667,64.50250000000001,2.319666666666667,0.0,194.5214583333333
GARMON002,2019-07-01,Slow,50.846792,4.75586,47,23.6,48.08510638297872,74.54042553191489,4.744893617021276,0.0,559.7163829787233
GARMON002,2019-07-02,Peak,50.846792,4.75586,47,16.95,69.64166666666667,61.55041666666662,0.9766666666666668,0.0,150.31750000000002
GARMON002,2019-07-02,Slow,50.846792,4.75586,47,22.8,49.375,73.08125,1.3666666666666665,0.0,385.94666666666666
GARMON002,2019-07-03,Peak,50.846792,4.75586,47,15.5,66.68619246861925,61.43472803347282,1.250460251046025,0.0,215.0815062761506
GARMON002,2019-07-03,Slow,50.846792,4.75586,47,22.05,44.145833333333336,72.29375000000003,2.4841666666666664,0.0,639.0041666666667
GARMON002,2019-07-04,Peak,50.846792,4.75586,47,16.1,67.49583333333334,61.01166666666672,0.6421250000000005,0.0,214.68337500000018
GARMON002,2019-07-04,Slow,50.846792,4.75586,47,23.049999999999997,38.958333333333336,73.75625,2.222916666666667,0.0,766.9358333333333
GARMON002,2019-07-05,Peak,50.846792,4.75586,47,17.75,71.95416666666667,64.4341666666667,1.4148333333333334,0.0,148.63845833333338
GARMON002,2019-07-05,Slow,50.846792,4.75586,47,26.4,43.041666666666664,79.86458333333333,4.080208333333333,0.0,676.7808333333334
GARMON002,2019-07-06,Peak,50.846792,4.75586,47,16.8,74.8125,64.79124999999999,2.1295000000000006,0.0,167.46870833333332
GARMON002,2019-07-06,Slow,50.846792,4.75586,47,27.35,44.083333333333336,80.7833333333333,5.396666666666668,0.0,637.4075000000001
GARMON002,2019-07-07,Peak,50.846792,4.75586,47,15.4,70.60669456066945,60.65397489539748,2.1219665271966526,0.0,159.03192468619244
GARMON002,2019-07-07,Slow,50.846792,4.75586,47,20.55,49.8125,69.16041666666668,3.6393749999999994,0.0,524.1743750000002
GARMON002,2019-07-08,Peak,50.846792,4.75586,47,13.5,74.69166666666666,55.570833333333354,2.036416666666666,0.0,154.82504166666675
GARMON002,2019-07-08,Slow,50.846792,4.75586,47,18.9,51.354166666666664,65.95416666666668,6.814583333333331,0.0,441.93416666666667
GARMON002,2019-07-09,Peak,50.846792,4.75586,47,14.850000000000001,72.475,56.79708333333334,1.0936249999999996,0.0,156.31545833333328
GARMON002,2019-07-09,Slow,50.846792,4.75586,47,21.2,43.354166666666664,70.38333333333334,2.721250000000001,0.0,598.9554166666666
