geometry.coordinates,geometry.type,properties.bike,properties.bike_avg,properties.car,properties.car_avg,properties.car_speed_buckets,properties.car_speed_histogram,properties.id,properties.last_data_package,properties.lorry,properties.lorry_avg,properties.oneway,properties.pedestrian,properties.pedestrian_avg,properties.road_speed,properties.road_type,properties.speed,properties.typical_data,type
"[[[4.373502271777454, 50.86908714188606], [4.3734060436751845, 50.869122510825186], [4.371798314302861, 50.86971689283577], [4.371578571686496, 50.86980291520336]]]",MultiLineString,,0,,0,,,1003073617,,,0,False,,0,,,50,,Feature
"[[[4.376537541907746, 50.871346767588214], [4.376870041655098, 50.87128852632379], [4.37874029560164, 50.870806976983275], [4.37885743639291, 50.870776501015676]]]",MultiLineString,,0,,0,,,1003073665,,,0,False,,0,,,50,,Feature
"[[[4.719976761902033, 50.87334712031651], [4.719970702034688, 50.873358112925665], [4.719853403933281, 50.87357090956929], [4.719839047263014, 50.873652403344686], [4.719833973572653, 50.87368132490082], [4.71983574188281, 50.87369343434147], [4.719916276189515, 50.874244806255106], [4.719983928901875, 50.87466952194589], [4.7200502959560255, 50.87514154336216], [4.720061099913449, 50.87534074391089], [4.71996059411655, 50.875816575567654], [4.719949794170248, 50.875867708229215], [4.719906593516912, 50.8759506186051]]]",MultiLineString,1004.0,120,608.0,60,"[0, 1, 2, 3, 4, 5, 6, 7]","[11, 112, 305, 92, 51, 11, 11, 21]",554482,,61.0,0,False,213.0,0,,,50,"[{'hour': '05:00:00', 'pedestrian': 0, 'bike': 6, 'car': 0, 'lorry': 0}, {'hour': '06:00:00', 'pedestrian': 5, 'bike': 40, 'car': 6, 'lorry': 0}, {'hour': '07:00:00', 'pedestrian': 9, 'bike': 174, 'car': 14, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 12, 'bike': 218, 'car': 24, 'lorry': 2}, {'hour': '09:00:00', 'pedestrian': 9, 'bike': 94, 'car': 23, 'lorry': 2}, {'hour': '10:00:00', 'pedestrian': 8, 'bike': 65, 'car': 24, 'lorry': 4}, {'hour': '11:00:00', 'pedestrian': 7, 'bike': 65, 'car': 27, 'lorry': 5}, {'hour': '12:00:00', 'pedestrian': 7, 'bike': 84, 'car': 29, 'lorry': 4}, {'hour': '13:00:00', 'pedestrian': 7, 'bike': 77, 'car': 27, 'lorry': 4}, {'hour': '14:00:00', 'pedestrian': 7, 'bike': 79, 'car': 25, 'lorry': 4}, {'hour': '15:00:00', 'pedestrian': 12, 'bike': 118, 'car': 30, 'lorry': 4}, {'hour': '16:00:00', 'pedestrian': 12, 'bike': 167, 'car': 31, 'lorry': 3}, {'hour': '17:00:00', 'pedestrian': 16, 'bike': 211, 'car': 33, 'lorry': 4}, {'hour': '18:00:00', 'pedestrian': 19, 'bike': 159, 'car': 33, 'lorry': 3}, {'hour': '19:00:00', 'pedestrian': 14, 'bike': 117, 'car': 30, 'lorry': 1}, {'hour': '20:00:00', 'pedestrian': 10, 'bike': 90, 'car': 28, 'lorry': 0}, {'hour': '21:00:00', 'pedestrian': 10, 'bike': 79, 'car': 25, 'lorry': 0}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[3.53625344827116, 50.99734092526071], [3.5362814949927985, 50.99733389555186], [3.536362108462685, 50.997329296559116], [3.5363750983954683, 50.997327885593876], [3.5367188142186543, 50.997290554700925], [3.536957049980312, 50.997264738261315], [3.537206545129571, 50.997237805294894], [3.537415635415421, 50.99721509952112], [3.5376247220379793, 50.99719253718592], [3.537714228650073, 50.99718292036963], [3.5377829261012836, 50.99717786752045], [3.537855880280194, 50.99717776208696], [3.53793607695856, 50.99718462097662], [3.5380044318424937, 50.997194065844006], [3.538084524349723, 50.997205984576794], [3.5382033177292103, 50.99722626720553], [3.538336224297756, 50.99725157528815], [3.5384927741888026, 50.99728444877458], [3.5386476381170295, 50.99731919785238], [3.538787793560299, 50.99735516461315], [3.5388687767456055, 50.99737798484884], [3.538982844400056, 50.997410944912026], [3.539070301011986, 50.99743907842122], [3.5393447280673622, 50.997532049719], [3.539720433152657, 50.99765948103948], [3.5400375517221483, 50.99776735045031], [3.540420368719266, 50.99789724769527], [3.5407037541640354, 50.997993074929354], [3.5409957951498523, 50.998091739468876], [3.541782454824021, 50.99835888357106], [3.5424896008125475, 50.9986001403797], [3.543122537327695, 50.99881591733047], [3.543939915986092, 50.99909393293061], [3.544787318522192, 50.999380379010404], [3.5447972009044824, 50.99938371952428], [3.5447981861504836, 50.99938405263414], [3.5449075113666524, 50.99942101601101]]]",MultiLineString,,0,,0,,,396132,,,0,False,,0,,,50,,Feature
"[[[4.04284362915457, 50.95060980429938], [4.0427543537138995, 50.95067978503222], [4.042722337820005, 50.950704882066375], [4.0425790215547845, 50.95080296113365], [4.042415127764314, 50.95090950288523], [4.042228733981118, 50.951031786566176], [4.042162559644704, 50.95108056832253], [4.042117123820417, 50.95112555350176], [4.042090836960839, 50.95116979782946], [4.041904822197975, 50.95151916183027], [4.041876874933717, 50.95157081330299], [4.041844112208181, 50.95163136996311], [4.0417626660616826, 50.951679640223006]]]",MultiLineString,,0,,0,,,543175,,,0,False,,0,,,50,,Feature
"[[[4.425223122067917, 51.18986728065184], [4.425118523233482, 51.18995366277191], [4.425107436516745, 51.18996281827086], [4.425078491964091, 51.18998672237131], [4.425069342187053, 51.1899942788491], [4.425055046395257, 51.19000608325511], [4.425044419658572, 51.19001485942726], [4.425009553507785, 51.19004365323167], [4.424998492355425, 51.190052787998226], [4.4244424212875835, 51.190512006362994]]]",MultiLineString,,0,,0,,,419715,,,0,False,,0,,,50,,Feature
"[[[4.361537605029282, 51.16053641877471], [4.361473540471031, 51.160615544183514], [4.361462637926822, 51.16062901007027], [4.361219803744389, 51.160928924754636], [4.360867749851719, 51.1613248442686], [4.3605068510472575, 51.16172765844333], [4.360165505810742, 51.162058842484186], [4.359426472546985, 51.162805857166994], [4.35870580714249, 51.163517863332864], [4.35859563997315, 51.163663565682086], [4.35857711077855, 51.1637135919184], [4.358567328490315, 51.16374000232269], [4.358530448450418, 51.16383956984213], [4.358512858293052, 51.16391420558583], [4.358485706027374, 51.164029411990505]]]",MultiLineString,390.0,98,5407.0,399,"[0, 1, 2, 3, 4, 5, 6, 7]","[169, 313, 2459, 2018, 340, 37, 34, 41]",417538,,249.0,51,False,54.0,8,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 15, 'car': 30, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 5, 'bike': 33, 'car': 402, 'lorry': 34}, {'hour': '09:00:00', 'pedestrian': 3, 'bike': 17, 'car': 273, 'lorry': 38}, {'hour': '10:00:00', 'pedestrian': 1, 'bike': 15, 'car': 275, 'lorry': 33}, {'hour': '11:00:00', 'pedestrian': 2, 'bike': 22, 'car': 294, 'lorry': 40}, {'hour': '12:00:00', 'pedestrian': 1, 'bike': 29, 'car': 320, 'lorry': 45}, {'hour': '13:00:00', 'pedestrian': 2, 'bike': 43, 'car': 341, 'lorry': 43}, {'hour': '14:00:00', 'pedestrian': 2, 'bike': 50, 'car': 362, 'lorry': 43}, {'hour': '15:00:00', 'pedestrian': 2, 'bike': 43, 'car': 418, 'lorry': 42}, {'hour': '16:00:00', 'pedestrian': 2, 'bike': 53, 'car': 436, 'lorry': 49}, {'hour': '17:00:00', 'pedestrian': 3, 'bike': 56, 'car': 414, 'lorry': 41}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[3.1262156962179573, 50.948258302351235], [3.1259602962180426, 50.94850390235112], [3.1258398962180856, 50.94862210235109], [3.1256604962181456, 50.948799402351014], [3.125564296218179, 50.94889200235098]]]",MultiLineString,,0,,0,,,9000000037,,,0,False,,0,,,50,,Feature
"[[[4.420600329164355, 51.1284733854598], [4.4206808023528525, 51.128514093015674], [4.420748910851583, 51.12854854529888], [4.420801613022145, 51.128575204824834], [4.421738863223341, 51.12902776211391], [4.422975523488901, 51.129582939221315], [4.423659576441684, 51.12987350526362], [4.425001086944797, 51.13036691313359], [4.425136478771938, 51.13041670924716]]]",MultiLineString,,0,,0,,,102935,,,0,False,,0,,,50,,Feature
"[[[4.48066288729271, 51.21960614884592], [4.480605852670453, 51.21959433213294], [4.480604094854977, 51.21959396794229], [4.480584210830597, 51.21958984903925], [4.48029610822062, 51.21953015916739], [4.479913217744852, 51.219450830415866], [4.479718755038746, 51.21941054024295], [4.479520427638253, 51.21937087467155], [4.477569555641222, 51.218980677952935], [4.477366810979645, 51.218940124083815]]]",MultiLineString,,0,,0,,,446822,,,0,False,,0,,,50,,Feature
"[[[4.63098648895902, 51.267549825446295], [4.631076302493206, 51.26762739619028], [4.631096564669524, 51.26764489627431], [4.631513872671115, 51.268005311132235], [4.631553455698439, 51.268058583162535], [4.631780364352405, 51.26824278235451], [4.631849292267976, 51.268275465144846], [4.632438191110432, 51.26879542956291], [4.633385536945205, 51.269602460551994], [4.633391056653164, 51.26960716464688], [4.633406178224566, 51.26962004509274], [4.6334786753790995, 51.269704025394745]]]",MultiLineString,,0,,0,,,114841,,,0,False,,0,,,50,,Feature
"[[[4.389339595926818, 51.09265450244727], [4.388734395926985, 51.09284140244713], [4.388564795927033, 51.09289530244712]]]",MultiLineString,,0,,0,,,9000000065,,,0,False,,0,,,50,,Feature
"[[[4.441107110906138, 51.17266531591611], [4.441068075377118, 51.17254014569682], [4.441032626946127, 51.17242649125295], [4.440851752432933, 51.1718492767768], [4.440844304623089, 51.1718235122436], [4.440810624606308, 51.17170711201026]]]",MultiLineString,,0,,0,,,122425,,,0,False,,0,,,50,,Feature
"[[[4.544870195901988, 51.22234590242741], [4.5439099959024025, 51.22402790242687], [4.54387099590242, 51.22409630242684], [4.543816295902437, 51.22416420242679], [4.543712995902474, 51.22422450242678], [4.543596395902507, 51.224289402426734], [4.54344599590255, 51.22433850242671], [4.543093295902646, 51.22443430242665], [4.542832895902717, 51.22450690242659]]]",MultiLineString,,0,,0,,,9000000025,,,0,False,,0,,,50,,Feature
"[[[5.1131749049019515, 50.89369851847881], [5.113130875061289, 50.893761661236375], [5.112930020643143, 50.894049647615894], [5.112831293822568, 50.894179997534664], [5.112809002542335, 50.89420940066501], [5.112770411303182, 50.89424262049604], [5.112650933747219, 50.894289323459624], [5.112615115204803, 50.894303324501855]]]",MultiLineString,,0,,0,,,20580,,,0,False,,0,,,50,,Feature
"[[[4.441474134755123, 51.113311270072295], [4.441506111005622, 51.113274160699774], [4.441542258077869, 51.11325019847597], [4.441599910821013, 51.11321332275126], [4.4416748291171375, 51.113192962875864], [4.4416778118519495, 51.113192152170406], [4.44176464598544, 51.11318800080089], [4.441795463974995, 51.11319145163181], [4.441854786378057, 51.11319809411487], [4.441921134331564, 51.11321230573396], [4.4419888518718755, 51.11322681100083], [4.442056259637959, 51.11325690824382], [4.442179728585727, 51.113322702617985], [4.442401956232309, 51.11346631725016], [4.44241693839361, 51.11347599955295], [4.442434308413158, 51.113487224975636], [4.442815553207452, 51.11372545718524], [4.442984128274962, 51.11383079563584], [4.443652724551851, 51.11424633801966], [4.443675482188277, 51.11426048222697], [4.444071313833165, 51.114507783489756], [4.444303586851087, 51.11465835350253], [4.444331179486887, 51.114676240104394], [4.444603635713691, 51.11485732054096], [4.444884669126171, 51.11503960801772], [4.4449896388593055, 51.11510769474609], [4.445226497823446, 51.11526604518466], [4.445329830652895, 51.115328569720056], [4.445430569393785, 51.115383073012424], [4.445458933885262, 51.11539740361078], [4.4455055211004835, 51.115420941099806], [4.445637582081582, 51.11547851059829], [4.445863218592877, 51.115568218406004], [4.446022463733043, 51.11562110689654], [4.446112101396671, 51.1156447802156], [4.446206905060992, 51.1156608316141], [4.446294173632831, 51.11566636491589], [4.446391585780299, 51.11566215308191], [4.446471856579029, 51.11565333939368], [4.4465740956078, 51.11563670793667], [4.446749933293909, 51.11560484338521], [4.447224970808271, 51.11552896485511], [4.447430301266808, 51.115494560917156], [4.447473027010911, 51.115487402144716], [4.447713336950062, 51.11545560146388], [4.4478375229188885, 51.11542952697837], [4.448304678029729, 51.11528265183302], [4.448413233383846, 51.11524071137144], [4.4484247181312275, 51.11523627446816], [4.44851335630195, 51.11520202919303]]]",MultiLineString,,0,,0,,,501058,,,0,False,,0,,,50,,Feature
"[[[4.5017118068307145, 51.25004047108107], [4.501632178793228, 51.24987835575177], [4.501584128714022, 51.24965415411723], [4.501561701679792, 51.24942533533048], [4.50156298697252, 51.24941900726818], [4.501570362519618, 51.24938270635083], [4.501583598711891, 51.24931756262846], [4.501596218419546, 51.24925544772087], [4.5016012474941824, 51.24923069473882]]]",MultiLineString,,0,,0,,,512968,,,0,False,,0,,,50,,Feature
