geometry.coordinates,geometry.type,properties.bike,properties.bike_avg,properties.car,properties.car_avg,properties.car_speed_buckets,properties.car_speed_histogram,properties.id,properties.last_data_package,properties.lorry,properties.lorry_avg,properties.oneway,properties.pedestrian,properties.pedestrian_avg,properties.road_speed,properties.road_type,properties.speed,properties.typical_data,type
"[[[3.2808280335971967, 50.823140694246845], [3.2808471309040246, 50.82312029988788], [3.280867943795845, 50.823098074422724], [3.2809375027939156, 50.823031694201376], [3.2812634180394946, 50.82270305579576], [3.2814022700139676, 50.82253350167519], [3.2815621949649483, 50.822333537506076], [3.2816413174680448, 50.822210517398865], [3.2817665962719293, 50.82198476832084], [3.2818185182366526, 50.82183708662426], [3.2818563880272875, 50.821682847526176], [3.281894699218325, 50.82145292627817], [3.2819130142918875, 50.821274410724754], [3.2819170513739597, 50.82116402994865], [3.281917633773338, 50.82114817287231], [3.281901812234912, 50.82110528826344], [3.281898252663945, 50.82109563928614], [3.281864127534089, 50.82106841645678], [3.28183195577572, 50.821048611292106], [3.2817862923728898, 50.821020500123595]]]",MultiLineString,70.0,3,924.0,42,"[0, 1, 2, 3, 4, 5, 6, 7]","[12, 47, 129, 234, 152, 141, 59, 152]",338716,2020-02-08T23:29:31.589Z,0.0,0,False,82.0,6,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '08:00:00', 'pedestrian': 0, 'bike': 0, 'car': 26, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 1, 'bike': 5, 'car': 30, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 2, 'bike': 5, 'car': 27, 'lorry': 0}, {'hour': '11:00:00', 'pedestrian': 1, 'bike': 5, 'car': 34, 'lorry': 0}, {'hour': '12:00:00', 'pedestrian': 2, 'bike': 5, 'car': 40, 'lorry': 0}, {'hour': '13:00:00', 'pedestrian': 1, 'bike': 4, 'car': 30, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 1, 'bike': 4, 'car': 29, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 2, 'bike': 5, 'car': 35, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 4, 'bike': 10, 'car': 50, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 0, 'bike': 6, 'car': 47, 'lorry': 0}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[3.182679569815185, 51.29494592196952], [3.1826524898672304, 51.294971683809834], [3.182583092097017, 51.2950376080472], [3.1825251416946174, 51.29509268080639], [3.182083627783706, 51.295493342931074], [3.1819994446642683, 51.295569736154334], [3.1820116279902746, 51.29557503541557], [3.182452909990255, 51.295766961275184], [3.182863024623315, 51.29593641535075], [3.1831003450364324, 51.2960115224062], [3.183557653985698, 51.29614142519196], [3.1841781024247524, 51.29632166140332], [3.18473737866189, 51.29648592971911], [3.1848474357866117, 51.29651271073766], [3.1849632442239177, 51.296540890162184]]]",MultiLineString,8.0,0,367.0,1,"[0, 1, 2, 3, 6, 7]","[262, 57, 18, 18, 5, 9]",374024,2020-02-10T14:10:19.721Z,0.0,0,False,9.0,0,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '08:00:00', 'pedestrian': 0, 'bike': 0, 'car': 6, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 0, 'bike': 1, 'car': 3, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 0, 'bike': 1, 'car': 4, 'lorry': 0}, {'hour': '11:00:00', 'pedestrian': 0, 'bike': 0, 'car': 5, 'lorry': 0}, {'hour': '12:00:00', 'pedestrian': 0, 'bike': 0, 'car': 5, 'lorry': 0}, {'hour': '13:00:00', 'pedestrian': 0, 'bike': 1, 'car': 6, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 0, 'bike': 1, 'car': 6, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 0, 'bike': 0, 'car': 6, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 1, 'bike': 0, 'car': 4, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 0, 'bike': 0, 'car': 8, 'lorry': 0}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.707419210593477, 50.86885588938852], [4.7076013056478905, 50.8689132023786], [4.707846040432385, 50.86900108171419], [4.7079508700103325, 50.86905285420947], [4.707956509921503, 50.869055639735414]]]",MultiLineString,475.0,22,5643.0,241,"[0, 1, 2, 3]","[1091, 1565, 2324, 664]",347345,2020-02-11T07:39:53.555Z,3509.0,149,False,0.0,0,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 0, 'car': 113, 'lorry': 23}, {'hour': '08:00:00', 'pedestrian': 0, 'bike': 17, 'car': 291, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 0, 'bike': 13, 'car': 295, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 0, 'bike': 19, 'car': 315, 'lorry': 0}, {'hour': '11:00:00', 'pedestrian': 0, 'bike': 19, 'car': 235, 'lorry': 0}, {'hour': '12:00:00', 'pedestrian': 0, 'bike': 16, 'car': 268, 'lorry': 0}, {'hour': '13:00:00', 'pedestrian': 0, 'bike': 13, 'car': 218, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 0, 'bike': 10, 'car': 241, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 0, 'bike': 11, 'car': 229, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 0, 'bike': 9, 'car': 248, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 0, 'bike': 11, 'car': 208, 'lorry': 0}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.7203206545341, 50.890427214439725], [4.720216531978704, 50.890518318776195], [4.720100687255973, 50.89061967944731], [4.719501652870919, 50.89114972777013], [4.718935347522895, 50.8916555636854], [4.718830303955853, 50.891743554671635], [4.718713065648245, 50.891822813989926], [4.718568183466891, 50.891913115719866], [4.718453651708608, 50.891976811555594], [4.718407698864787, 50.892002367255095], [4.718316180194609, 50.89204538315861], [4.718219349351012, 50.89207307084401], [4.718111990665481, 50.892083254427355]]]",MultiLineString,130.0,3,534.0,27,"[1, 2, 3, 4, 5, 7]","[27, 92, 222, 92, 40, 66]",350260,2020-02-11T12:03:27.142Z,1171.0,37,False,52.0,3,,,50,"[{'hour': '05:00:00', 'pedestrian': 0, 'bike': 0, 'car': 6, 'lorry': 0}, {'hour': '06:00:00', 'pedestrian': 0, 'bike': 2, 'car': 7, 'lorry': 2}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 5, 'car': 27, 'lorry': 3}, {'hour': '08:00:00', 'pedestrian': 1, 'bike': 11, 'car': 49, 'lorry': 4}, {'hour': '09:00:00', 'pedestrian': 1, 'bike': 4, 'car': 30, 'lorry': 3}, {'hour': '10:00:00', 'pedestrian': 1, 'bike': 4, 'car': 29, 'lorry': 4}, {'hour': '11:00:00', 'pedestrian': 1, 'bike': 6, 'car': 35, 'lorry': 9}, {'hour': '12:00:00', 'pedestrian': 1, 'bike': 7, 'car': 38, 'lorry': 9}, {'hour': '13:00:00', 'pedestrian': 1, 'bike': 9, 'car': 39, 'lorry': 9}, {'hour': '14:00:00', 'pedestrian': 1, 'bike': 10, 'car': 44, 'lorry': 7}, {'hour': '15:00:00', 'pedestrian': 1, 'bike': 14, 'car': 50, 'lorry': 8}, {'hour': '16:00:00', 'pedestrian': 2, 'bike': 16, 'car': 52, 'lorry': 7}, {'hour': '17:00:00', 'pedestrian': 2, 'bike': 22, 'car': 62, 'lorry': 6}, {'hour': '18:00:00', 'pedestrian': 1, 'bike': 15, 'car': 55, 'lorry': 4}, {'hour': '19:00:00', 'pedestrian': 1, 'bike': 9, 'car': 46, 'lorry': 3}, {'hour': '20:00:00', 'pedestrian': 1, 'bike': 7, 'car': 32, 'lorry': 2}, {'hour': '21:00:00', 'pedestrian': 0, 'bike': 6, 'car': 25, 'lorry': 0}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[3.7555465202642053, 51.024363730892254], [3.755508965344777, 51.02433025570137], [3.755508330534392, 51.02432968973823], [3.755507695708975, 51.02432912492562], [3.755439172044398, 51.024268056301366], [3.755409155740568, 51.02424129283369], [3.7553968129404307, 51.024230297575556], [3.755391958108931, 51.0242259689382], [3.7552454980118837, 51.02409541509567], [3.7548875650296987, 51.023796894796305], [3.75471568144987, 51.02365302617356], [3.754321373393305, 51.02332296666141], [3.7540418365853894, 51.02308789331874], [3.753867036419953, 51.022940892264195]]]",MultiLineString,583.0,16,2835.0,179,"[0, 1, 2, 3, 4, 5, 6, 7]","[116, 132, 510, 978, 677, 283, 74, 70]",27812,2020-02-11T15:37:50.219Z,482.0,7,False,47.0,2,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 0, 'car': 117, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 3, 'bike': 17, 'car': 137, 'lorry': 6}, {'hour': '09:00:00', 'pedestrian': 2, 'bike': 9, 'car': 114, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 1, 'bike': 10, 'car': 122, 'lorry': 1}, {'hour': '11:00:00', 'pedestrian': 1, 'bike': 13, 'car': 118, 'lorry': 1}, {'hour': '12:00:00', 'pedestrian': 1, 'bike': 12, 'car': 113, 'lorry': 1}, {'hour': '13:00:00', 'pedestrian': 1, 'bike': 14, 'car': 114, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 1, 'bike': 11, 'car': 112, 'lorry': 1}, {'hour': '15:00:00', 'pedestrian': 1, 'bike': 11, 'car': 127, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 1, 'bike': 17, 'car': 165, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 0, 'bike': 16, 'car': 184, 'lorry': 2}, {'hour': '18:00:00', 'pedestrian': 0, 'bike': 0, 'car': 168, 'lorry': 21}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[5.356484053252683, 50.99227461545719], [5.356691799845361, 50.992326163804655], [5.356708831341797, 50.99233038992354], [5.3571192597696315, 50.9924322288962], [5.357494808121691, 50.992520783734214], [5.3579979753623626, 50.99263119034076], [5.358263496937049, 50.99268088848631], [5.358350308539592, 50.99269713765429]]]",MultiLineString,0.0,0,1440.0,60,"[4, 5]","[720, 720]",277545,2020-02-12T05:48:55.220Z,0.0,0,False,0.0,0,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 9, 'car': 180, 'lorry': 41}, {'hour': '08:00:00', 'pedestrian': 0, 'bike': 9, 'car': 307, 'lorry': 24}, {'hour': '09:00:00', 'pedestrian': 3, 'bike': 8, 'car': 318, 'lorry': 31}, {'hour': '10:00:00', 'pedestrian': 3, 'bike': 9, 'car': 366, 'lorry': 48}, {'hour': '11:00:00', 'pedestrian': 3, 'bike': 10, 'car': 388, 'lorry': 48}, {'hour': '12:00:00', 'pedestrian': 2, 'bike': 11, 'car': 372, 'lorry': 36}, {'hour': '13:00:00', 'pedestrian': 1, 'bike': 11, 'car': 346, 'lorry': 33}, {'hour': '14:00:00', 'pedestrian': 3, 'bike': 14, 'car': 371, 'lorry': 50}, {'hour': '15:00:00', 'pedestrian': 2, 'bike': 10, 'car': 441, 'lorry': 44}, {'hour': '16:00:00', 'pedestrian': 2, 'bike': 11, 'car': 496, 'lorry': 46}, {'hour': '17:00:00', 'pedestrian': 0, 'bike': 34, 'car': 654, 'lorry': 42}, {'hour': '18:00:00', 'pedestrian': 4, 'bike': 24, 'car': 589, 'lorry': 0}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.722403455519259, 50.88974425319758], [4.722578090404566, 50.88981760326827], [4.722592453081672, 50.88982363593484], [4.722988668324024, 50.890009564190386], [4.723616915817955, 50.890304407005466], [4.723657535987892, 50.89032346138547], [4.724860888724138, 50.89088806642578], [4.7249495531185675, 50.89092670348098], [4.725395410275482, 50.89108888308131], [4.725427805337488, 50.89110066614811], [4.72552979129412, 50.89113776290699]]]",MultiLineString,944.0,37,601.0,0,"[1, 2, 3, 7]","[215, 172, 172, 43]",350253,2020-02-12T09:18:35.785Z,0.0,0,False,428.0,0,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': 0, 'bike': 8, 'car': 0, 'lorry': 0}, {'hour': '07:00:00', 'pedestrian': 1, 'bike': 19, 'car': 5, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 5, 'bike': 40, 'car': 8, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 3, 'bike': 20, 'car': 8, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 3, 'bike': 16, 'car': 11, 'lorry': 0}, {'hour': '11:00:00', 'pedestrian': 4, 'bike': 18, 'car': 10, 'lorry': 0}, {'hour': '12:00:00', 'pedestrian': 4, 'bike': 20, 'car': 11, 'lorry': 0}, {'hour': '13:00:00', 'pedestrian': 4, 'bike': 21, 'car': 11, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 2, 'bike': 18, 'car': 12, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 2, 'bike': 26, 'car': 13, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 2, 'bike': 35, 'car': 15, 'lorry': 0}, {'hour': '17:00:00', 'pedestrian': 3, 'bike': 40, 'car': 18, 'lorry': 0}, {'hour': '18:00:00', 'pedestrian': 4, 'bike': 36, 'car': 14, 'lorry': 0}, {'hour': '19:00:00', 'pedestrian': 4, 'bike': 27, 'car': 9, 'lorry': 0}, {'hour': '20:00:00', 'pedestrian': 3, 'bike': 20, 'car': 7, 'lorry': 0}, {'hour': '21:00:00', 'pedestrian': 0, 'bike': 23, 'car': 0, 'lorry': 0}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.051075710484324, 50.98418679143319], [4.050778738046297, 50.98436340329871], [4.050751809737742, 50.984379418068144], [4.050688364643258, 50.984420348235126], [4.050534947024805, 50.98452221001756], [4.050350267053026, 50.98464023623296], [4.050139072636879, 50.984776214973174], [4.049997352987136, 50.984875239742166], [4.049756680769495, 50.98501933107834], [4.049480808400443, 50.98518572054788], [4.049411748709591, 50.9852248594085], [4.0493470208607425, 50.985262817922084], [4.0492736104024, 50.98530586852942], [4.049076415384873, 50.98541839682063], [4.049065266387049, 50.98542429976261], [4.049008675211239, 50.98545426205437], [4.048335036518961, 50.98583337647094], [4.048153422229264, 50.98594242465584], [4.047883268695358, 50.98609353244162], [4.0476576217026965, 50.98622141072026], [4.04756769903651, 50.98627387395763], [4.047360087321813, 50.986389921218105], [4.047260563893661, 50.98643938656898], [4.047250246437356, 50.98644451436198], [4.047241208160303, 50.98644892075188], [4.047124350575966, 50.98650589138386]]]",MultiLineString,869.0,49,5500.0,237,"[0, 1, 2, 3, 4, 5, 7]","[145, 869, 1592, 1592, 579, 290, 435]",428910,2020-02-13T08:13:52.751Z,869.0,41,False,289.0,8,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 40, 'car': 475, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 7, 'bike': 25, 'car': 257, 'lorry': 33}, {'hour': '09:00:00', 'pedestrian': 6, 'bike': 13, 'car': 186, 'lorry': 41}, {'hour': '10:00:00', 'pedestrian': 4, 'bike': 13, 'car': 183, 'lorry': 40}, {'hour': '11:00:00', 'pedestrian': 8, 'bike': 17, 'car': 198, 'lorry': 40}, {'hour': '12:00:00', 'pedestrian': 15, 'bike': 27, 'car': 206, 'lorry': 43}, {'hour': '13:00:00', 'pedestrian': 6, 'bike': 14, 'car': 213, 'lorry': 47}, {'hour': '14:00:00', 'pedestrian': 8, 'bike': 16, 'car': 224, 'lorry': 50}, {'hour': '15:00:00', 'pedestrian': 13, 'bike': 20, 'car': 256, 'lorry': 55}, {'hour': '16:00:00', 'pedestrian': 8, 'bike': 17, 'car': 282, 'lorry': 55}, {'hour': '17:00:00', 'pedestrian': 5, 'bike': 19, 'car': 334, 'lorry': 58}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.367128368585952, 50.86956438855126], [4.367105607506083, 50.86969574227095], [4.367155357098072, 50.86973800208883], [4.3676684848950735, 50.87017401139658], [4.367828874882179, 50.87029393112278], [4.368113856779962, 50.870481091738455], [4.368409992971454, 50.870649193982466], [4.368571366300821, 50.8707295321209], [4.369042688566307, 50.87093102767592], [4.369411639133641, 50.87105852139257], [4.369735747340361, 50.871163442083144]]]",MultiLineString,1157.0,89,7660.0,366,"[0, 1, 2, 3, 4, 5, 6, 7]","[656, 5205, 1479, 148, 34, 21, 21, 101]",1003103604,2020-02-13T12:42:26.820Z,1291.0,35,False,308.0,15,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '08:00:00', 'pedestrian': 15, 'bike': 30, 'car': 434, 'lorry': 58}, {'hour': '09:00:00', 'pedestrian': 13, 'bike': 18, 'car': 271, 'lorry': 58}, {'hour': '10:00:00', 'pedestrian': 9, 'bike': 12, 'car': 244, 'lorry': 54}, {'hour': '11:00:00', 'pedestrian': 12, 'bike': 18, 'car': 267, 'lorry': 53}, {'hour': '12:00:00', 'pedestrian': 13, 'bike': 21, 'car': 302, 'lorry': 51}, {'hour': '13:00:00', 'pedestrian': 12, 'bike': 24, 'car': 312, 'lorry': 50}, {'hour': '14:00:00', 'pedestrian': 10, 'bike': 26, 'car': 329, 'lorry': 48}, {'hour': '15:00:00', 'pedestrian': 10, 'bike': 25, 'car': 369, 'lorry': 54}, {'hour': '16:00:00', 'pedestrian': 12, 'bike': 31, 'car': 391, 'lorry': 53}, {'hour': '17:00:00', 'pedestrian': 12, 'bike': 32, 'car': 352, 'lorry': 54}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.701852937686397, 50.86600824402309], [4.701724478550075, 50.866092178590904], [4.701684152843573, 50.86612242279121], [4.701596106580008, 50.86618845765304], [4.701496212435874, 50.86627990801158], [4.70139194389449, 50.86638941425134], [4.701263288465052, 50.86654477854525], [4.701227010331483, 50.866588587181774]]]",MultiLineString,23.0,0,226.0,2,"[0, 1]","[204, 23]",348660,2020-02-13T13:40:08.407Z,0.0,0,False,0.0,0,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': 0, 'bike': 2, 'car': 22, 'lorry': 0}, {'hour': '07:00:00', 'pedestrian': 4, 'bike': 36, 'car': 67, 'lorry': 4}, {'hour': '08:00:00', 'pedestrian': 0, 'bike': 0, 'car': 9, 'lorry': 0}, {'hour': '09:00:00', 'pedestrian': 0, 'bike': 0, 'car': 4, 'lorry': 0}, {'hour': '10:00:00', 'pedestrian': 0, 'bike': 0, 'car': 6, 'lorry': 0}, {'hour': '11:00:00', 'pedestrian': 0, 'bike': 0, 'car': 23, 'lorry': 0}, {'hour': '12:00:00', 'pedestrian': 0, 'bike': 1, 'car': 23, 'lorry': 0}, {'hour': '13:00:00', 'pedestrian': 0, 'bike': 2, 'car': 9, 'lorry': 0}, {'hour': '14:00:00', 'pedestrian': 0, 'bike': 0, 'car': 14, 'lorry': 0}, {'hour': '15:00:00', 'pedestrian': 0, 'bike': 11, 'car': 26, 'lorry': 0}, {'hour': '16:00:00', 'pedestrian': 4, 'bike': 39, 'car': 108, 'lorry': 1}, {'hour': '17:00:00', 'pedestrian': 4, 'bike': 65, 'car': 119, 'lorry': 4}, {'hour': '18:00:00', 'pedestrian': 6, 'bike': 51, 'car': 113, 'lorry': 1}, {'hour': '19:00:00', 'pedestrian': 5, 'bike': 36, 'car': 75, 'lorry': 0}, {'hour': '20:00:00', 'pedestrian': 1, 'bike': 28, 'car': 46, 'lorry': 0}, {'hour': '21:00:00', 'pedestrian': 2, 'bike': 17, 'car': 38, 'lorry': 0}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
"[[[4.432225926425516, 51.21913636383467], [4.432441411206723, 51.21932835386996], [4.43268321644137, 51.219547744150205], [4.432775328711924, 51.219667633173714], [4.432842227858108, 51.2198034061326], [4.432855994421575, 51.21994745736434], [4.432833644235757, 51.2200404835127], [4.432832156955213, 51.22004667581992], [4.432820838835958, 51.220093784648064], [4.432816846019231, 51.22011040198622], [4.4327688191322725, 51.220143332411936], [4.432751160410987, 51.22019791211387]]]",MultiLineString,368.0,17,1248.0,91,"[0, 1, 2, 3, 4, 5, 6, 7]","[87, 98, 429, 271, 188, 46, 27, 106]",424713,2020-02-13T17:31:20.124Z,372.0,20,False,109.0,8,,,50,"[{'hour': '05:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '06:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '07:00:00', 'pedestrian': 0, 'bike': 8, 'car': 30, 'lorry': 0}, {'hour': '08:00:00', 'pedestrian': 3, 'bike': 19, 'car': 35, 'lorry': 3}, {'hour': '09:00:00', 'pedestrian': 5, 'bike': 11, 'car': 29, 'lorry': 10}, {'hour': '10:00:00', 'pedestrian': 5, 'bike': 12, 'car': 37, 'lorry': 12}, {'hour': '11:00:00', 'pedestrian': 6, 'bike': 12, 'car': 46, 'lorry': 14}, {'hour': '12:00:00', 'pedestrian': 6, 'bike': 14, 'car': 52, 'lorry': 14}, {'hour': '13:00:00', 'pedestrian': 6, 'bike': 14, 'car': 52, 'lorry': 15}, {'hour': '14:00:00', 'pedestrian': 5, 'bike': 15, 'car': 61, 'lorry': 15}, {'hour': '15:00:00', 'pedestrian': 6, 'bike': 17, 'car': 69, 'lorry': 16}, {'hour': '16:00:00', 'pedestrian': 5, 'bike': 21, 'car': 76, 'lorry': 15}, {'hour': '17:00:00', 'pedestrian': 0, 'bike': 17, 'car': 91, 'lorry': 17}, {'hour': '18:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '19:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '20:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '21:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}, {'hour': '22:00:00', 'pedestrian': None, 'bike': None, 'car': None, 'lorry': None}]",Feature
